id,text,english_value,simple_value
1,Jesus,444,74
2,Lucifer,444,74
3,Vaccination,666,111
4,New York,666,111
5,Mark Of Beast,666,111
6,Image Of Satan,666,111
7,Santa Claus,666,111
8,Stubborn,666,111
9,Andrew Tate,666,111
10,Gematria,444,74
11,Messiah,444,74
12,Masonic,444,74
13,Simple Gematria,888,148
14,Donald J Trump,888,148
15,Righteous God,888,148
16,We Are Not Alone,888,148
17,Nuclear Weapon,888,148
18,A Satanic Mark,666,111
19,Santa Claus,666,111
23,Jesus,444,74
24,Messiah,444,74
25,Gematria,444,74
26,New York,666,111
27,Masonic,444,74
28,We Are Not Alone,888,148
29,Simple Gematria,888,148
30,Donald Trump,828,138
33,Stubborn,666,111
34,New York,666,111
35,Simple Gematria,888,148
36,Donald Trump,828,138
37,Book Of The Dead,666,111
38,Deutschland,666,111
39,Humanity,666,111
40,New Age Begins,666,111
41,I Am Batman,444,74
42,Jay Adams,444,74
43,Redbull,444,74
44,New York,666,111
45,Joe Biden,384,64
46,I Am Batman,444,74
47,Kamala Harris,672,112
48,Donald Trump,828,138
49,Simple Gematria,888,148
50,Heaven Sent Archangel Of Death,1446,241
51,Four Hundred Twenty,1446,241
52,Magic Man,366,61
53,I Am Batman,444,74
54,A Lord Jesus Christ Is Knocking Your Door,2664,444
55,Andrew Tate,666,111
56,Satans Messed With The Wrong Person,2376,396
57,Mark Of Satan,714,119
58,Vaccination,666,111
59,Olympic Games,828,138
60,Bill Gates,522,87
61,New World Order,1044,174
62,Government,798,133
63,Religion,534,89
64,Elon Musk,660,110
65,Elon Reeve Musk,990,165
66,Netanjahu,564,94
67,Shane Gillis,690,115
68,Global It Outage,882,147
69,Vaccination,666,111
70,Witchcraft,666,111
71,Computer,666,111
72,Mark Of Beast,666,111
73,Jesus,444,74
74,Jewish,444,74
75,Messiah,444,74
76,Donkey,444,74
77,Cross,444,74
78,Masonic,444,74
79,Occult,444,74
80,Found Dead,444,74
81,Kill,264,44
82,Sonya Massey,936,156
83,George Perry Floyd,1206,201
84,Dishonest,678,113
85,Lie,156,26
86,God,156,26
87,Christ,462,77
88,Boiling Hot Water,1068,178
89,Antichrist,726,121
90,Illusion,666,111
91,Jorge Mario,666,111
92,Jorge Mario Bergoglio,1206,201
93,Ignatius Of Loyola,1206,201
94,Sorceries,666,111
95,Six Six Six,936,156
96,Lucifer,444,74
97,Donald J Trump,888,148
98,Sandy Hook,672,112
99,Sonya,444,74
100,Nailed It,444,74
101,Formation,666,111
102,Andrew Tate,666,111
103,No Nut November,1068,178
104,Rockefeller,660,110
105,Rothschild,696,116
106,Olympics,672,112
107,Presidential Election,1290,215
108,Andrew Tate,666,111
109,Paris Olympic,936,156
110,Bella Thorne,672,112
111,Asdasdasd,432,72
112,Parables,444,74
113,Gematrify,624,104
114,Calculation,666,111
115,Lol I Got To The Statistics,1782,297
116,Hello From Calculator,1260,210
117,I Am The Latest Submission,1638,273
118,Donald J Trump,888,148
119,George Hw Bush,828,138
120,Zator Ave,648,108
121,Hello,312,52
122,Tying It Out,960,160
123,Trying It Out,1068,178
124,Enter,372,62
